name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
KATINA,Motor Yachts,12,6,15,"1 Master, 3 Double, 2 Twin",60m / 196'10,Brodosplit Brodosplit,2015 | 2017 (Refitted),12 Knots,10.68m / 35',2.9m / 9'6,"1,212 GT",Custom Custom,Brodosplit,Ali Getz,"€260,000 p/week + expenses Approx $296,500","€320,000 p/week + expenses Approx $365,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","$245,000 p/week + expenses","$315,000 p/week + expenses","Indian Ocean, Maldives,, Seychelles","Abu Dhabi, Dubai","The 60m/196'10"" motor yacht 'Katina' by shipyard Brodosplit offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Ali Getz.",
MEMORIES,Motor Yachts,12,6,14,"1 Master, 1 VIP, 4 Double/Twin",60m / 196'10,Amels Amels,2025,13 Knots,10.4m / 34'1,3.35m / 11',853 GT,Amels 60 Amels 60,Espen Oeino,Harrison Eidsgaard,"€485,000 p/week + expenses Approx $569,000","€485,000 p/week + expenses Approx $569,000","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Mallorca, Portofino, Sardinia, St Tropez, The Balearics","$485,000 p/week + expenses","$485,000 p/week + expenses","Caribbean, Bahamas",,"The 60m/196'10"" motor yacht 'Memories' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Dutch shipyard Amels  and featuring interior styling by British designer Harrison Eidsgaard she can comfortably accommodate up to 12 guests in 6 cabins.",
O'MADELEINE,Motor Yachts,12,7,15,"1 Master, 1 VIP, 3 Double, 2 Twin",60m / 196'10,Golden Yachts Golden Yachts,2025,15.5 Knots,11m / 36'1,3.05m / 10',"1,305 GT",Custom,Studio Vafiadis,Massari Design,"€390,000 p/week + expenses Approx $458,000","€480,000 p/week + expenses Approx $563,500",Mediterranean,,"€390,000 p/week + expenses Approx $458,000","€480,000 p/week + expenses Approx $563,500",Mediterranean,,"The 60m/196'10"" motor yacht 'O'Madeleine' offers the unmissable chance to charter a brand new superyacht, having only launched this year. Delivered by the Greek shipyard Golden Yachts  and featuring interior styling by Italian designer Massari Design she can comfortably accommodate up to 12 guests in 7 cabins.",
ORA,Motor Yachts,12,8,15,"1 Master, 1 VIP, 3 Double, 1 Twin",59.99m / 196'10,CMN Yachts CMN Yachts,2009 | 2023 (Refitted),15 Knots,11.1m / 36'5,3.45m / 11'4,"1,076 GT",Custom Custom,Winch Design,Winch Design,"€290,000 p/week + expenses Approx $330,500","€360,000 p/week + expenses Approx $410,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Calvi, Corsica, French Riviera, Mykonos, Sardinia","€290,000 p/week + expenses Approx $330,500","€360,000 p/week + expenses Approx $410,500",,,"The multi-award winning 60m/196'10"" motor yacht 'Ora' (ex. O'Eva) by the French shipyard CMN Yachts offers flexible accommodation for up to 12 guests in 8 cabins and features interior styling by British designer Winch Design.",
ROCK.IT,Motor Yachts,11,5,14,"1 Master, 2 VIP, 1 Double, 1 Twin",60.05m / 197',Feadship Feadship,2014 | 2020 (Refitted),12 Knots,10.79m / 35'5,3.3m / 10'10,"1,052 GT",Custom Custom,Sinot Yacht Architecture & Design,Sinot Yacht Architecture & Design,"€425,000 p/week + expenses Approx $497,500","€450,000 p/week + expenses Approx $526,500","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","$395,000 p/week + expenses","$425,000 p/week + expenses","Caribbean, Antigua,, Saint Martin,, St Barts",Virgin Islands,The 60.35m/198' motor yacht 'Rock.It' by the Dutch shipyard Feadship offers flexible accommodation for up to 11 guests in 5 cabins and features interior styling by Dutch designer Sinot Yacht Architecture & Design.,
SCOTT FREE,Motor Yachts,12,6,16,"1 Master, 1 VIP, 2 Twin, 2 Convertible",59.99m / 196'10,Abeking & Rasmussen Abeking & Rasmussen,2009 | 2022 (Refitted),14 Knots,10.7m / 35'1,3.53m / 11'7,"1,090 GT",Custom Custom,Donald Starkey,Bannenberg & Rowell,"$420,000 p/week + expenses","$420,000 p/week + expenses","South Pacific, Fiji,, French Polynesia",,"$420,000 p/week + expenses","$450,000 p/week + expenses","Indian Ocean, Maldives, South East Asia, Thailand",,The classically beautiful 60m (197ft) motor yacht ELYSIAN was built in 2009 by the renowned shipyard Abeking & Rasmussen. Her uber-chic interior is designed by Bannenberg & Rowell and her exterior styling is helmed by Donald Starkey.,
SLIPSTREAM,Motor Yachts,12,7,15,"1 Master, 1 VIP, 2 Double, 2 Twin",59.99m / 196'10,CMN Yachts CMN Yachts,2009,14.5 Knots,11.2m / 36'9,3.4m / 11'2,"1,093 GT",Custom Custom,Winch Design,Winch Design,"€350,000 p/week + expenses Approx $399,000","€399,000 p/week + expenses Approx $455,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","$392,000 p/week + expenses","$455,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"An elegant, versatile and well-equipped charter yacht, the multi-award-winning 196'10 /  60m Custom motor yacht 'Slipstream' is perfect for charterers looking for fun in the sun on their next vacation. She was built in 2009 by CMN Yachts, and English studio Winch Design is responsible for her classic exterior styling and fresh interior design.",
ST DAVID,Motor Yachts,12,6,14,"1 Master, 5 Double/Twin",60m / 196'10,Benetti Benetti,2008 | 2019 (Refitted),12 Knots,10.4m / 34'1,3.6m / 11'10,969 GT,Custom Custom,Winch Design,Winch Design,"€325,000 p/week + expenses Approx $370,500","€345,000 p/week + expenses Approx $393,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","$325,000 p/week + expenses","$345,000 p/week + expenses","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts, Central America, Costa Rica",Virgin Islands,"The 60m/196'10"" motor yacht 'St David' (ex. Xanadu) by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by British designer Winch Design.",
VISION,Motor Yachts,12,6,15,"1 Master, 2 Double, 2 Twin, 1 Convertible",59.99m / 196'10,Benetti Benetti,2011 | 2021 (Refitted),13.5 Knots,10.4m / 34'1,3.4m / 11'2,"1,008 GT",Custom Custom,Stefano Natucci,Pierre-Yves Rochon,"€380,000 p/week + expenses Approx $439,500","€400,000 p/week + expenses Approx $462,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","€380,000 p/week + expenses Approx $439,500","€400,000 p/week + expenses Approx $462,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","The 60m/196'10"" 'Vision' (ex. Lyana) motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Pierre-Yves Rochon.",
ANDIAMO,Motor Yachts,12,6,15,"1 Master, 1 VIP, 3 Double, 2 Twin, 2 Pullman",59.3m / 194'7,Benetti Benetti,2009 | 2020 (Refitted),12.5 Knots,10.4m / 34'1,3.2m / 10'6,996 GT,Custom Custom,Stefano Natucci,Massari Design,"€395,000 p/week + expenses Approx $450,500","€395,000 p/week + expenses Approx $450,500","Mediterranean, Italy",Amalfi Coast,"$395,000 p/week + expenses","$420,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 59.3m/194'7"" 'Andiamo' (ex. Lady Luck) motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 6 cabins. This award winning  yacht  features interior styling by Italian designer Massari Design.",
CHRISTINA V,Motor Yachts,12,6,15,"1 Master, 1 VIP, 2 Double, 2 Twin",59.31m / 194'7,Benetti Benetti,2009 | 2016 (Refitted),12 Knots,10.4m / 34'1,3.2m / 10'6,996 GT,Custom Custom,Stefano Natucci,Massari Design,"€320,000 p/week + expenses Approx $365,000","€340,000 p/week + expenses Approx $387,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","$371,000 p/week + expenses","$392,000 p/week + expenses",,,"The 59.3m/194'7"" motor yacht 'Christina V' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer Massari Design.",
IDYLLIC,Motor Yachts,12,6,15,"1 Master, 1 VIP, 4 Double, 2 Pullman",59.31m / 194'7,Benetti Benetti,2008 | 2022 (Refitted),14 Knots,10.4m / 34'1,3.25m / 10'8,996 GT,Custom Custom,Stefano Natucci,Massari Design,"€290,000 p/week + expenses Approx $342,000","€340,000 p/week + expenses Approx $401,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","€290,000 p/week + expenses Approx $342,000","€290,000 p/week + expenses Approx $342,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Abu Dhabi, Amalfi Coast, Corsica, Dubai, French Riviera, Mykonos, Sardinia","The 59.3m/194'7"" motor yacht 'IDyllic' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer Massari Design.",
LA BLANCA,Motor Yachts,12,6,16,"1 Master, 1 VIP, 2 Double, 2 Twin",59.37m / 194'9,Benetti Benetti,2008 | 2023 (Refitted),12 Knots,10.4m / 34'1,3.5m / 11'6,971 GT,Custom Custom,Stefano Natucci,RWD,"€395,000 p/week + expenses Approx $462,500","€420,000 p/week + expenses Approx $492,000","Mediterranean, Croatia,, France,, Italy,, Malta,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","€395,000 p/week + expenses Approx $462,500","€420,000 p/week + expenses Approx $492,000","Mediterranean, Croatia,, Greece,, Italy,, Monaco,, Montenegro","Calvi, Cannes, Corsica, French Riviera, Ibiza, Mallorca, Mykonos, Santorini, Sardinia, St Tropez, The Balearics","The graceful 196'10 /  60m custom motor yacht MIMI was built in 2008 by the legendary Benetti shipyard and given a fresh refit in 2019 under new ownership. The epitome of chic, her sublime interiors are helmed by the esteemed British design studio RWD, while her sleek silhouette comes courtesy of Stefano Natucci.",
VICKY,Motor Yachts,12,6,12,"1 Master, 3 Double, 2 Twin",59.41m / 194'11,Baglietto Baglietto,2009,14 Knots,10.7m / 35'1,3.2m / 10'6,879 GT,Custom Custom,Baglietto,Sawaya & Moroni,"€250,000 p/week + expenses Approx $285,000","€280,000 p/week + expenses Approx $319,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€250,000 p/week + expenses Approx $285,000","€280,000 p/week + expenses Approx $319,000",,,"The 59.4m/194'11"" 'Vicky' motor yacht built by the Italian shipyard Baglietto is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Sawaya & Moroni.",
TREEHOUSE,Motor Yachts,12,7,16,"1 Master, 4 Double, 1 Twin, 1 Bunk Cabin",59.11m / 193'11,Oceanco Oceanco,2001 | 2023 (Refitted),13 Knots,10.5m / 34'5,3.64m / 11'11,969 GT,Custom,The A Group,Hallberg & Wisely,"€380,000 p/week + expenses Approx $433,000","€420,000 p/week + expenses Approx $479,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","$380,000 p/week + expenses","$400,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The award winning 59.1m/193'11"" motor yacht 'Treehouse' by the Dutch shipyard Oceanco offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by Hallberg & Wisely.",
CAPRI I,Motor Yachts,12,6,15,"1 Master, 1 VIP, 2 Double, 2 Twin",58.6m / 192'3,Lurssen Lurssen,2003 | 2018 (Refitted),13 Knots,11.43m / 37'6,3.5m / 11'6,"1,226 GT",Custom Custom,Glade Johnson Design,Glade Johnson Design,"€450,000 p/week + expenses Approx $524,000","€450,000 p/week + expenses Approx $524,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","€450,000 p/week + expenses Approx $524,000","€450,000 p/week + expenses Approx $524,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","The 58.55m/192'1"" 'Capri I' motor yacht built by the German shipyard Lurssen is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Glade Johnson Design.",
BARAKA,Motor Yachts,12,6,12,"1 Master, 1 VIP, 2 Double, 2 Twin",58.2m / 190'11,Turquoise Yachts Turquoise Yachts,2010,13 Knots,9.6m / 31'6,3.3m / 10'10,840 GT,Custom Custom,Francesco Paszkowski Design,Francesco Paszkowski Design,"€322,000 p/week + expenses Approx $367,000","€350,000 p/week + expenses Approx $399,000",,,,,,,"The 58m/190'3"" motor yacht 'Baraka' by the Turkish shipyard Turquoise Yachts offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer Francesco Paszkowski Design.",
CARPE DIEM,Motor Yachts,12,6,11,"1 Master, 1 VIP, 3 Double, 1 Convertible",58.2m / 190'11,Trinity Yachts Trinity Yachts,2011 | 2024 (Refitted),14 Knots,10.2m / 33'6,2.4m / 7'10,749 GT,Custom Custom,Trinity Yachts,Carol Williamson & Associates,"€350,000 p/week + expenses Approx $411,000","€375,000 p/week + expenses Approx $440,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia","$294,000 p/week + expenses","$336,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The 58.2m/190'11"" 'Carpe Diem' motor yacht built by the American shipyard Trinity Yachts is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Carol Williamson & Associates.",
UNBRIDLED,Motor Yachts,12,6,13,"3 Double, 3 Twin, 4 Pullman",58.22m / 191',Trinity Yachts Trinity Yachts,2009 | 2019 (Refitted),12 Knots,10.9m / 35'9,3m / 9'10,803 GT,Custom Custom,Trinity Yachts,Patrick Knowles,"$295,000 p/week + expenses","$295,000 p/week + expenses",,,"$295,000 p/week + expenses","$320,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 58.2m/190'11"" 'Unbridled' motor yacht built by the American shipyard Trinity Yachts is available for charter for up to 12 guests in 6 cabins. This award winning  yacht  features interior styling by Patrick Knowles.",
ILLUSION V,Motor Yachts,12,6,13,"1 Master, 1 VIP, 1 Double, 3 Twin, 1 Pullman",57.99m / 190'3,Benetti Benetti,2014,12 Knots,10.8m / 35'5,3.46m / 11'4,950 GT,Custom Custom,Green & Mingarelli Design,Green & Mingarelli Design,"€350,000 p/week + expenses Approx $399,000","€500,000 p/week + expenses Approx $570,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","$350,000 p/week + expenses","$399,000 p/week + expenses",,,"The award winning 58m/190'3"" motor yacht 'Illusion V' (ex. Illusion I) by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Green & Mingarelli Design.",
QUEEN MARE,Motor Yachts,12,6,12,"1 Master, 1 VIP, 3 Double, 1 Twin",57.99m / 190'3,Alpha Marine Alpha Marine,2012 | 2021 (Refitted),12 Knots,10m / 32'10,2.4m / 7'10,490 GT,Custom Custom,Tasel Form,Halit Yukay,"€220,000 p/week + expenses Approx $255,500","€270,000 p/week + expenses Approx $313,500","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","€200,000 p/week + expenses Approx $232,500","€240,000 p/week + expenses Approx $279,000","Mediterranean, Croatia,, France,, Greece,, Italy,, Malta,, Monaco,, Montenegro,, Turkey","Amalfi Coast, Corsica, French Riviera, Ibiza, Mykonos, Sardinia, The Balearics","The 58m/190'3"" motor yacht 'Queen Mare' by shipyard Alpha Marine offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Halit Yukay.",
SKYFALL,Motor Yachts,12,6,14,"1 Master, 2 VIP, 2 Double, 1 Twin",57.91m / 190',Trinity Yachts Trinity Yachts,2010 | 2020 (Refitted),13 Knots,10.2m / 33'6,2.6m / 8'6,771 GT,Custom Custom,Trinity Yachts,Patrick Knowles,"€335,000 p/week + expenses Approx $393,000","€375,000 p/week + expenses Approx $440,000","Mediterranean, Croatia,, France,, Italy,, Monaco,, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia","$290,000 p/week + expenses","$350,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"The 189.99ft /57.91m custom motor yacht 'SKYFALL' was built in 2010 by Trinity Yachts. The yacht’s exterior styling and entire engineering package is thanks to the in-house team at Trinity Yachts, while the luxurious interior design is the work of Patrick Knowles.",
W,Motor Yachts,10,5,12,"1 Master, 1 VIP, 2 Double, 1 Twin, 2 Pullman",57.61m / 189',Feadship Feadship,2013 | 2020 (Refitted),16 Knots,10.55m / 34'7,3.25m / 10'8,941 GT,Custom Custom,De Voogt,Bannenberg & Rowell,"$450,000 p/week + expenses","$450,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",Virgin Islands,"$450,000 p/week + expenses","$500,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts","Florida, Virgin Islands",The 57.6m/189' motor yacht 'W' by the Dutch shipyard Feadship offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by English designer Bannenberg & Rowell.,
DIAMOND,Motor Yachts,12,9,15,"1 Master, 1 VIP, 4 Double, 2 Twin",57.28m / 187'11,Abeking & Rasmussen Abeking & Rasmussen,1998 | 2010 (Refitted),16 Knots,10.3m / 33'10,3.64m / 11'11,"1,049 GT",Custom Custom,Donald Starkey,Jack C. Anderson,"€270,000 p/week + expenses Approx $308,000","€300,000 p/week + expenses Approx $342,000",,,"$270,000 p/week + expenses","$300,000 p/week + expenses",,,The 57.3m/188' 'Diamond' motor yacht built by the German shipyard Abeking & Rasmussen is available for charter for up to 12 guests in 9 cabins. This  yacht  features interior styling by Jack C. Anderson.,
