,name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
798,COLOMBAIO,Sailing Yachts,8.0,3.0,3.0,"1 Master, 2 Twin",29m / 95'2,Jongert Jongert,1992,8 Knots,6.7m / 22',3.8m / 12'6,,Custom,Jongert,Peter Sijm,"€21,000 p/week + expenses Approx $24,000","€25,000 p/week + expenses Approx $28,500","Mediterranean, Turkey",,"€21,000 p/week + expenses Approx $24,000","€25,000 p/week + expenses Approx $28,500","Mediterranean, Turkey",,"The 28.8m/94'6"" sail yacht 'Colombaio' by shipyard Jongert offers flexible accommodation for up to 8 guests in 3 cabins and features interior styling by Peter Sijm.",
799,COLUMBIA,Sailing Yachts,8.0,4.0,10.0,"1 Master, 3 Double",43m / 141'1,Eastern Shipbuilding Eastern Shipbuilding,2014,9 Knots,7.8m / 25'7,4.72m / 15'6,145 GT,Custom Custom,W Starling Burgess,,"$68,000 p/week + expenses","$68,000 p/week + expenses",Bermuda,"Florida, New England","$68,000 p/week + expenses","$75,000 p/week + expenses","Bermuda, Caribbean, Antigua,, Bahamas,, Cuba,, Saint Martin,, St Barts",Virgin Islands,"The 43.09m/141'4"" sail yacht 'Columbia' by shipyard Eastern Shipbuilding offers flexible accommodation for up to 8 guests in 4 cabins.",
800,COLUMBO BREEZE,Sailing Yachts,6.0,3.0,2.0,"1 Master, 1 Double, 1 Twin",20.37m / 66'10,Oyster Yachts Oyster Yachts,2004 | 2009 (Refitted),9 Knots,5.48m / 18',2.03m / 6'8,49 GT,Custom,Rob Humphreys,,"$15,000 p/week + expenses","$18,000 p/week + expenses",Caribbean,,"$15,000 p/week + expenses","$18,000 p/week + expenses",Caribbean,,"The 20.37m/66'10"" sail yacht 'Columbo Breeze' by shipyard Oyster Yachts offers flexible accommodation for up to 6 guests in 3 cabins.",
801,COME PRIMA,Motor Yachts,12.0,6.0,10.0,"1 Master, 2 Double, 2 Twin, 1 Triple",50m / 164'1,Benetti Benetti,2000 | 2023 (Refitted),13 Knots,9m / 29'6,2.85m / 9'4,496 GT,Golden Bay Series Golden Bay Series,Stefano Natucci,Stefano Natucci,"€180,000 p/week + expenses Approx $205,000","€205,000 p/week + expenses Approx $233,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€160,000 p/week + expenses Approx $182,500","€205,000 p/week + expenses Approx $233,500","Mediterranean, France,, Italy,, Monaco","Corsica, French Riviera, Sardinia","The 49.96m/163'11"" motor yacht 'Come Prima' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer Stefano Natucci.",
802,COME TOGETHER,Expedition Yachts,12.0,6.0,14.0,"1 Master, 1 VIP, 2 Double, 2 Double/Twin",60m / 196'10,Amels Amels,2022,13 Knots,9.4m / 30'10,3.35m / 11',853 GT,Amels 60 Amels 60,Espen Oeino,Winch Design,"€450,000 p/week + expenses Approx $527,000","€550,000 p/week + expenses Approx $644,000","Mediterranean, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez","$490,000 p/week + expenses","$550,000 p/week + expenses","Caribbean, Antigua,, Bahamas,, Saint Martin,, St Barts",,"The multi-award winning 60m/196'10"" expedition yacht 'Come Together' by the Dutch shipyard Amels offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by British designer Winch Design.",
803,COMPANINSHIP,Motor Yachts,6.0,3.0,3.0,"1 Master, 2 Double",23.2m / 76'1,Lazzara Yachts Lazzara Yachts,1997,22 Knots,6.28m / 20'7,1.52m / 5',,76 Open Bridge 76 Open Bridge,,,"$19,500 p/week + expenses","$21,500 p/week + expenses","Caribbean, Bahamas",Florida,"$19,500 p/week + expenses","$21,500 p/week + expenses","Caribbean, Bahamas",Florida,"The 23.2m/76'1"" motor yacht 'Companinship' by shipyard Lazzara Yachts offers flexible accommodation for up to 6 guests in 3 cabins.",
804,COMPASS,Motor Yachts,8.0,4.0,4.0,"1 Master, 1 VIP, 1 Double, 1 Twin",23m / 75'6,Custom Custom,2024,11 Knots,7.3m / 23'11,1.9m / 6'3,,Custom,,,"€14,375 p/week + expenses Approx $17,000","€23,125 p/week + expenses Approx $27,000","Mediterranean, Greece,, Turkey",,"€14,375 p/week + expenses Approx $17,000","€23,125 p/week + expenses Approx $27,000","Mediterranean, Greece,, Turkey",,"The 23m/75'6"" motor yacht 'Compass' is an excellent new superyacht for the luxury charter market. Delivered by shipyard Custom  she can comfortably accommodate up to 8 guests in 4 cabins.",
805,COMPASS,Motor Yachts,10.0,5.0,4.0,"1 Master, 1 VIP, 1 Double, 2 Twin",26.78m / 87'10,Azimut Azimut,2023,24 Knots,6.59m / 21'7,1.93m / 6'4,145 GT,Grande 27M Grande 27M,Stefano Righini,Achille Salvagni,"$80,000 p/week + expenses","$80,000 p/week + expenses","Caribbean, Bahamas",,"$80,000 p/week + expenses","$80,000 p/week + expenses","Caribbean, Bahamas",,"The 26.78m/87'10"" motor yacht 'Compass' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Azimut  and featuring interior styling by Italian designer Achille Salvagni she can comfortably accommodate up to 10 guests in 5 cabins.",
806,CONAN,Catamarans,8.0,4.0,3.0,4 Double,24m / 78'9,Custom Custom,1990 | 2022 (Refitted),10 Knots,8.4m / 27'7,2.1m / 6'11,50 GT,Custom Custom,Michael Joubert,,"€14,000 p/week + expenses Approx $16,500","€21,000 p/week + expenses Approx $24,500","Mediterranean, Greece",Mykonos,"€13,300 p/week + expenses Approx $15,500","€18,900 p/week + expenses Approx $22,000","Mediterranean, Greece",Mykonos,The 23.77m/78' 'Conan' catamaran yacht built by shipyard Custom is available for charter for up to 8 guests in 4 cabins.,
807,CONDOR A,Motor Yachts,10.0,5.0,6.0,"1 Master, 2 Double, 2 Twin",42.39m / 139'1,Tecnomar Tecnomar,2009 | 2024 (Refitted),19 Knots,7.44m / 24'5,3.51m / 11'6,184 GT,Nadara 41 RPH Nadara 41 RPH,Theofanis Bobotis Architects,Theofanis Bobotis Architects,"€100,000 p/week + expenses Approx $118,500","€100,000 p/week + expenses Approx $118,500","Mediterranean, Greece,, Turkey",Mykonos,"€100,000 p/week + expenses Approx $118,500","€100,000 p/week + expenses Approx $118,500","Mediterranean, Greece,, Turkey",Mykonos,"The 41.6m/136'6"" 'Condor A' motor yacht built by the Italian shipyard Tecnomar is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Theofanis Bobotis Architects.",
808,CONQUEST OF 1966,Motor Yachts,9.0,4.0,4.0,"1 Master, 1 VIP, 1 Triple",27m / 88'7,Custom Custom,1966 | 2011 (Refitted),11 Knots,5.5m / 18'1,2.85m / 9'4,79 GT,Custom Custom,,,"€35,000 p/week + expenses Approx $40,000","€39,000 p/week + expenses Approx $44,500",,,"€35,000 p/week + expenses Approx $40,000","€35,000 p/week + expenses Approx $40,000",,,The 28.65m/94' motor yacht 'Conquest of 1966' by shipyard Custom offers flexible accommodation for up to 9 guests in 4 cabins.,
809,CONSTANTER,Sailing Yachts,6.0,3.0,2.0,"1 Master, 1 Double, 1 Twin",20m / 65'7,Nautor Swan Nautor Swan,2002 | 2012 (Refitted),9 Knots,5.34m / 17'6,3.1m / 10'2,35 GT,Custom,,,"€18,000 p/week + expenses Approx $20,500","€21,000 p/week + expenses Approx $24,000","Mediterranean, Italy","Amalfi Coast, Ibiza, The Balearics",POA,POA,"Mediterranean, Italy","Amalfi Coast, Ibiza, The Balearics","The 20m/65'7"" sail yacht 'Constanter' by the Finnish shipyard Nautor Swan offers flexible accommodation for up to 6 guests in 3 cabins.",
810,CONTE ALBERTI,Motor Yachts,8.0,4.0,4.0,,27.41m / 89'11,Horizon Horizon,2006 | 2020 (Refitted),11 Knots,6.6m / 21'8,2m / 6'7,115 GT,Elegance 90 Elegance 90,Horizon,,"€36,000 p/week + expenses Approx $41,000","€39,000 p/week + expenses Approx $44,500","Mediterranean, Croatia,, Greece,, Italy,, Montenegro",Mykonos,"€36,000 p/week + expenses Approx $41,000","€39,000 p/week + expenses Approx $44,500","Mediterranean, Croatia,, Greece,, Italy,, Montenegro",Mykonos,"The 27.4m/89'11"" 'Conte Alberti' motor yacht built by the Taiwanese shipyard Horizon is available for charter for up to 8 guests in 4 cabins.",
811,CONTE STEFANI,Motor Yachts,12.0,5.0,5.0,"1 Master, 2 VIP, 2 Twin, 2 Pullman",35m / 114'10,Horizon Horizon,2006 | 2023 (Refitted),11 Knots,7.82m / 25'8,2.15m / 7'1,230 GT,Custom,Design Studio Spadolini,Evan K Marshall,"€60,000 p/week + expenses Approx $68,500","€65,000 p/week + expenses Approx $74,000","Mediterranean, Croatia,, Montenegro",,"€60,000 p/week + expenses Approx $68,500","€65,000 p/week + expenses Approx $74,000","Mediterranean, Croatia,, Montenegro",,"The 34.96m/114'8"" 'Conte Stefani' motor yacht built by the Taiwanese shipyard Horizon is available for charter for up to 12 guests in 5 cabins. This  yacht  features interior styling by British designer Evan K Marshall.",
812,CONTIGO,Motor Yachts,10.0,5.0,8.0,"1 Master, 2 VIP, 2 Double/Twin",40.79m / 133'10,Benetti Benetti,2024,14.5 Knots,8.5m / 27'11,2.14m / 7',385 GT,Oasis 40M Oasis 40M,RWD,Bonetti/Kozerski Architecture,,,,,,,,,"The 40.8m/133'10"" motor yacht 'Contigo' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Benetti  and featuring interior styling by American designer Bonetti/Kozerski Architecture she can comfortably accommodate up to 10 guests in 5 cabins.",
813,CONUNDRUM,Motor Yachts,8.0,4.0,3.0,"1 Master, 1 VIP, 2 Twin",26.25m / 86'1,Azimut Azimut,2007 | 2015 (Refitted),26 Knots,6.1m / 20',1.94m / 6'4,66 GT,Azimut 85 Ultimate Azimut 85 Ultimate,Stefano Righini,Carlo Galeazzi,"$32,500 p/week + expenses","$35,000 p/week + expenses","Caribbean, Bahamas",Florida,"$32,500 p/week + expenses","$35,000 p/week + expenses","Caribbean, Bahamas",Florida,"The 26.25m/86'1"" 'Conundrum' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Carlo Galeazzi.",
814,COOKIE,Motor Yachts,9.0,4.0,5.0,"1 Master, 1 VIP, 2 Twin",24m / 78'9,Fipa Italiana Yachts Fipa Italiana Yachts,2002 | 2022 (Refitted),21 Knots,5.9m / 19'4,2.45m / 8',98 GT,Custom,Roberto Del Re,Maiora,"€31,000 p/week + expenses Approx $36,000","€36,000 p/week + expenses Approx $42,000","Mediterranean, Greece",Mykonos,"€28,000 p/week + expenses Approx $32,500","€28,000 p/week + expenses Approx $32,500","Mediterranean, Greece",Mykonos,"The 24m/78'9"" 'Cookie' motor yacht built by shipyard Fipa Italiana Yachts is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Italian designer Maiora.",
815,COOL,Motor Yachts,10.0,5.0,7.0,"1 Master, 2 Double, 2 Twin",37m / 121'5,Sanlorenzo Sanlorenzo,2022,18 Knots,7.6m / 24'11,2.25m / 7'5,175 GT,SL120 Asymmetric SL120 Asymmetric,Zuccon,Zuccon,"€129,950 p/week + expenses Approx $151,500","€139,950 p/week + expenses Approx $163,000","Mediterranean, Greece","Mykonos, Santorini","€79,900 p/week + expenses Approx $93,000","€99,900 p/week + expenses Approx $116,500","Mediterranean, Greece","Mykonos, Santorini","The 36.92m/121'2"" motor yacht 'Cool' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Zuccon.",
816,COPAY,Motor Yachts,6.0,3.0,3.0,,24.38m / 80',Lazzara Yachts Lazzara Yachts,2003,18 Knots,5.82m / 19'1,1.37m / 4'6,122 GT,80 Skylounge 80 Skylounge,Lazzara Yachts,Lazzara Yachts,"$32,000 p/week + expenses","$32,000 p/week + expenses","Caribbean, Bahamas",Florida,"$32,000 p/week + expenses","$32,000 p/week + expenses","Caribbean, Bahamas",Florida,"The 24.4m/80'1"" 'Copay' motor yacht built by shipyard Lazzara Yachts is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Lazzara Yachts.",
817,COPIHUE,Sailing Yachts,7.0,4.0,3.0,"1 Master, 2 Twin, 1 Single",22.8m / 74'10,Claasen Shipyards Claasen Shipyards,1997 | 2008 (Refitted),8 Knots,5.4m / 17'9,3m / 9'10,,Custom Custom,Hoek Design,,"€12,500 p/week + expenses Approx $14,500","€20,000 p/week + expenses Approx $23,000",,,"€12,500 p/week + expenses Approx $14,500","€20,000 p/week + expenses Approx $23,000",,Virgin Islands,"The 22.8m/74'10"" 'Copihue' sail yacht built by Claasen Shipyards is available for charter for up to 7 guests in 4 cabins.",
818,CORAL OCEAN,Motor Yachts,12.0,7.0,22.0,"1 Master, 1 VIP, 2 Double, 2 Twin",72.54m / 238',Lurssen Lurssen,1994 | 2022 (Refitted),12.5 Knots,13.04m / 42'9,3.7m / 12'2,"1,528 GT",Custom Custom,Bannenberg & Rowell,Bannenberg & Rowell,"€650,000 p/week + expenses Approx $762,500","€790,000 p/week + expenses Approx $926,500","Mediterranean, Croatia,, France,, Monaco, Northern Europe, Finland,, Norway","Amalfi Coast, Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia, The Balearics","€650,000 p/week + expenses Approx $762,500","€790,000 p/week + expenses Approx $926,500",,,The 72.55m/238' motor yacht 'Coral Ocean' (ex. Coral Island) by the German shipyard Lurssen offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by English designer Bannenberg & Rowell.,
819,CORNELIA,Motor Yachts,7.0,3.0,2.0,"1 Master, 1 Double, 1 Twin",22.38m / 73'5,Alfamarine Alfamarine,2007 | 2022 (Refitted),38 Knots,5.44m / 17'10,1.2m / 3'11,86 GT,Custom,,,"€22,000 p/week + expenses Approx $25,000","€27,000 p/week + expenses Approx $31,000","Mediterranean, Greece",Mykonos,"€22,000 p/week + expenses Approx $25,000","€22,000 p/week + expenses Approx $25,000","Mediterranean, Greece",Mykonos,The 21.95m/72' motor yacht 'Cornelia' by shipyard Alfamarine offers flexible accommodation for up to 7 guests in 3 cabins.,
820,CORNELIA,Motor Yachts,9.0,4.0,6.0,"1 Master, 1 Double, 2 Twin, 1 Pullman",34.01m / 111'7,RMK Yachts RMK Yachts,2006 | 2022 (Refitted),10 Knots,8m / 26'3,3.2m / 10'6,280 GT,Custom Custom,De Vries Lentsch,Felix Buytendijk Yacht Design,"€70,000 p/week + expenses Approx $80,000","€80,000 p/week + expenses Approx $91,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€70,000 p/week + expenses Approx $80,000","€80,000 p/week + expenses Approx $91,000",,,"The 34m/111'7"" 'Cornelia' motor yacht built by shipyard RMK Yachts is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Felix Buytendijk Yacht Design.",
821,CORROBOREE,Classic Yachts,12.0,5.0,6.0,"1 Master, 1 VIP, 3 Double",33.2m / 108'11,Lloyds Ships Lloyds Ships,1988 | 2018 (Refitted),10 Knots,7.5m / 24'7,3.2m / 10'6,155 GT,Custom,Fratelli Benetti,,"$60,000 p/week + expenses","$60,000 p/week + expenses",,,"$60,000 p/week + expenses","$60,000 p/week + expenses","South Pacific, Australia,, Fiji,, New Caledonia","Sydney, Whitsundays","The 33.5m/109'11"" classic yacht 'Corroboree' by shipyard Lloyds Ships offers flexible accommodation for up to 12 guests in 5 cabins.",
822,CORVUS,Motor Yachts,10.0,5.0,7.0,5 Double,36.88m / 121',Halkitis Urania Halkitis Urania,2008,15 Knots,6.48m / 21'3,3m / 9'10,225 GT,Custom,,,,,,,,,,,The 36.88m/121' 'Corvus' motor yacht built by shipyard Halkitis Urania is available for charter for up to 10 guests in 5 cabins.,
823,COSMICO,Motor Yachts,10.0,5.0,9.0,"1 Master, 2 VIP, 1 Double/Twin, 1 Twin, 2 Pullman",40.8m / 133'10,Benetti Benetti,2024,11 Knots,8.5m / 27'11,2.14m / 7',385 GT,Oasis 40M Oasis 40M,RWD,Bonetti/Kozerski Architecture,"€210,000 p/week + expenses Approx $241,500","€255,000 p/week + expenses Approx $293,500","Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez",,,,,"The 40.8m/133'10"" motor yacht 'Cosmico' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Benetti  and featuring interior styling by American designer Bonetti/Kozerski Architecture she can comfortably accommodate up to 10 guests in 5 cabins.",
824,COSMOS,Sailing Yachts,8.0,4.0,4.0,"1 Master, 2 Double, 1 Twin",24.8m / 81'4,Custom Custom,1979 | 2016 (Refitted),8 Knots,6.5m / 21'4,2.6m / 8'6,71 GT,Custom,,,POA,POA,,,POA,POA,"Mediterranean, Greece",Mykonos,"The 24.8m/81'4"" sail yacht 'Cosmos' by shipyard Custom offers flexible accommodation for up to 8 guests in 4 cabins.",
825,COSMOS II,Motor Yachts,8.0,4.0,4.0,,32.5m / 106'8,Lloyds Ships Lloyds Ships,1987 | 2012 (Refitted),10 Knots,7.1m / 23'4,2.3m / 7'7,135 GT,Custom Custom,,,"$60,000 p/week + expenses","$60,000 p/week + expenses",,,"$60,000 p/week + expenses","$60,000 p/week + expenses",,,"The 32.5m/106'8"" 'Cosmos II' motor yacht built by shipyard Lloyds Ships is available for charter for up to 8 guests in 4 cabins.",
826,COSMOS LUNA,Motor Yachts,10.0,5.0,6.0,"1 Master, 2 Double, 2 Twin",33.4m / 109'7,Tuzla Shipyard Tuzla Shipyard,2009,13 Knots,6.5m / 21'4,3.5m / 11'6,123 GT,Custom Custom,,,"€49,000 p/week + expenses Approx $56,500","€56,000 p/week + expenses Approx $64,500","Mediterranean, Turkey",,"€40,000 p/week + expenses Approx $46,000","€45,000 p/week + expenses Approx $52,000","Mediterranean, Turkey",,"The 33.4m/109'7"" motor yacht 'Cosmos Luna' by Tuzla Shipyard offers flexible accommodation for up to 10 guests in 5 cabins.",
827,COSTA MAGNA,Motor Yachts,10.0,5.0,9.0,"1 Master, 2 Double, 2 Twin",44.5m / 146',Turquoise Yachts Turquoise Yachts,1983 | 2023 (Refitted),12 Knots,7.3m / 23'11,2.8m / 9'2,314 GT,Custom Custom,Alberto Mercati,,"€90,000 p/week + expenses Approx $102,500","€96,000 p/week + expenses Approx $109,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics","€90,000 p/week + expenses Approx $102,500","€96,000 p/week + expenses Approx $109,500","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics",The 44.5m/146' motor yacht 'Costa Magna' by the Turkish shipyard Turquoise Yachts offers flexible accommodation for up to 10 guests in 5 cabins.,
828,CRAZY HORSE,Sailing Yachts,6.0,3.0,2.0,"1 Master, 1 Double, 1 Twin",22.7m / 74'6,Oyster Yachts Oyster Yachts,2005 | 2016 (Refitted),10 Knots,5.86m / 19'3,3.58m / 11'9,54 GT,Custom,,,"$20,000 p/week + expenses","$20,000 p/week + expenses","South Pacific, Fiji,, New Zealand",,"$20,000 p/week + expenses","$20,000 p/week + expenses","South Pacific, Fiji,, New Zealand",,"The 22.7m/74'6"" 'Crazy Horse' sail yacht built by shipyard Oyster Yachts is available for charter for up to 6 guests in 3 cabins.",
829,CRAZY HORSE,Catamarans,10.0,5.0,5.0,,23.8m / 78'1,Lagoon Lagoon,2019,12 Knots,11.23m / 36'10,1.7m / 5'7,62 GT,Seventy 8 Seventy 8,Patrick Le Quément,Nauta Design,"€50,000 p/week + expenses Approx $57,000","€70,000 p/week + expenses Approx $80,000","Mediterranean, Greece,, Turkey",Mykonos,"€50,000 p/week + expenses Approx $57,000","€70,000 p/week + expenses Approx $80,000","Mediterranean, Greece,, Turkey",Mykonos,"The 23.8m/78'1"" 'Crazy Horse' catamaran yacht built by the French shipyard Lagoon is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Nauta Design.",
830,CRAZY LOVE,Catamarans,8.0,5.0,5.0,,26.82m / 88',Hudson Yachts Hudson Yachts,2023,9 Knots,11.1m / 36'5,2.78m / 9'1,136 GT,Custom,Morrelli & Melvin Design,,"$80,000 p/week + expenses","$90,000 p/week + expenses","South East Asia, Thailand",,"$80,000 p/week + expenses","$90,000 p/week + expenses","South East Asia, Thailand",,The 26.82m/88' catamaran yacht 'Crazy Love' is an excellent new superyacht for the luxury charter market. Delivered by shipyard Hudson Yachts  she can comfortably accommodate up to 8 guests in 5 cabins.,
